("looked", [1])
("looks", [6])
("loose", [3])
("lord", [8])
("lords", [2])
("lose", [6])
("loseth", [1])
("loss", [1])
("lost", [7])
("loureth", [1])
("love", [18])
("loved", [1])
("lovesprings", [1])
("low", [1])
("luce", [8])
("luceluce", [1])
("luciana", [55])
("luck", [1])
("lunatic", [1])
("lust", [2])
("mace", [1])
("mad", [24])
("made", [15])
("madest", [1])
("madly", [2])
("madman", [2])
("madness", [2])
("maids", [1])
("make", [25])
("makes", [3])
("making", [4])
("male", [1])
("males", [1])
("malthorse", [1])
("man", [57])
("managed", [1])
("manners", [1])
("many", [5])
("marble", [1])
("marian", [1])
("mark", [2])
("markd", [1])
("marks", [11])
("marrd", [1])
("marriage", [3])
("marriagebed", [1])
("married", [2])
("marry", [10])
("mart", [11])
("marts", [1])
("marvel", [1])
("marvellous", [1])
("mast", [2])
("master", [46])
("masters", [5])
("match", [1])
("mate", [1])
("mated", [2])
("matter", [3])
("maud", [1])
("maw", [1])
("may", [23])
("mayest", [1])
("me", [263])
("meals", [1])
("mean", [11])
("meaner", [1])
("meanest", [1])
("meaning", [2])
("meanly", [1])
("means", [4])
("meant", [1])
("measure", [2])
("meat", [7])
("meek", [1])
("meet", [7])
("meets", [1])
("melancholy", [3])
("memory", [1])
("men", [11])
("menaphon", [1])
("mend", [3])
("merchant", [25])
("merchants", [2])
("merciless", [1])
("mercy", [1])
("mere", [1])
("mermaid", [1])
("mermaids", [1])
("merrier", [1])
("merrily", [1])
("merry", [11])
("messenger", [3])
("met", [8])
("metal", [1])
("meteors", [1])
("methe", [1])
("methinks", [3])
("method", [1])
("mickle", [1])
("midst", [1])
("might", [7])
("mightst", [1])
("mighty", [3])
("mildly", [1])
("mind", [6])
("minds", [2])
("mine", [24])
("mingled", [1])
("minion", [3])
("minions", [1])
("miracle", [1])
("mire", [1])
("mirth", [1])
("misery", [1])
("misfortunes", [1])
("mishap", [1])
("mishaps", [1])
("mist", [1])
("mistress", [27])
("mistresswhat", [1])
("modesty", [2])
("mole", [1])
("mome", [1])
("money", [26])
("monstrously", [1])
("months", [1])
("mood", [2])
("moody", [1])
("more", [32])
("morning", [1])
("morrispike", [1])
("mortal", [1])
("moss", [1])
("most", [13])
("mother", [2])
("motion", [1])
("motions", [1])
("mountain", [1])
("mountebank", [1])
("mountebanks", [1])
("mournd", [1])
("move", [2])
("moves", [1])
("much", [17])
("muffle", [1])
("murder", [1])
("music", [1])
("must", [14])
("my", [265])
("myself", [11])
("nail", [1])
("nails", [1])
("naked", [1])
("name", [16])
("namely", [2])
("names", [2])
("narrow", [1])
("nation", [1])
("native", [1])
("nativity", [2])
("natural", [1])
("nature", [3])
("nay", [17])
("near", [3])
("neck", [3])
("need", [2])
("needs", [2])
("needy", [1])
("neer", [7])
("neither", [8])
("nell", [1])
("nest", [1])
("netherlands", [1])
("never", [19])
("new", [2])
("newapparelled", [1])
("next", [1])
("nicks", [1])
("niggard", [1])
("niggardly", [1])
("nigh", [1])
("night", [5])
("nimble", [1])
("no", [59])
("noahs", [1])
("noise", [1])
("none", [13])
("nor", [19])
("nose", [2])
("not", [167])
("note", [2])
("nothing", [12])
("notorious", [1])
("nought", [1])
("now", [45])
("nurse", [1])
("nut", [1])
("o", [26])
("oath", [2])
("oaths", [1])
("obedient", [1])
("obey", [5])
("object", [1])
("obscured", [1])
("observation", [1])
("ocean", [1])
("oclock", [3])
("odd", [1])
("oer", [3])
("oerraught", [1])
("of", [599])
("off", [3])
("offence", [2])
("offended", [1])
("offer", [4])
("offerd", [2])
("office", [3])
("officer", [25])
("officers", [2])
("oft", [2])
("often", [3])
("oftentimes", [1])
("oh", [2])
("oil", [1])
("old", [8])
("on", [43])
("once", [6])
("one", [33])
("ones", [4])
("only", [1])
("ons", [1])
("ope", [1])
("open", [3])
("openly", [1])
("or", [51])
("orator", [1])
("order", [2])
("osixpence", [1])
("other", [17])
("others", [5])
("otherwhere", [1])
("our", [31])
("ours", [1])
("ourselves", [4])
("out", [26])
("outfacing", [1])
("outrage", [2])
("outrageous", [1])
("over", [1])
("owe", [5])
("owes", [3])
("owls", [1])
("own", [13])
("owner", [2])
("pack", [2])
("packd", [1])
("pails", [1])
("pain", [2])
("pains", [1])
("pair", [1])
("palace", [1])
("pale", [5])
("palm", [1])
("paradise", [1])
("parcel", [1])
("parchment", [1])
("pardon", [2])
("parents", [2])
("parings", [1])
("parrot", [1])
("part", [7])
("parted", [2])
("partial", [1])
("pass", [2])
("passage", [1])
("passages", [1])
("passed", [1])
("passion", [2])
("past", [1])
("patch", [2])
("pate", [6])
("patience", [7])
("patient", [5])
("patiently", [1])
("patron", [1])
("pause", [1])
("pawn", [1])
("pay", [9])
("peace", [3])
("peacock", [1])
("peasant", [2])
("peevish", [2])
("penalty", [1])
("penitent", [1])
("pentecost", [1])
("people", [3])
("perceive", [1])
("perchance", [2])
("perdie", [1])
("perfect", [1])
("perforce", [2])
("perhaps", [2])
("periwig", [1])
("perjured", [2])
("pernicious", [1])
("persever", [1])
("persia", [1])
("person", [3])
("persuade", [1])
("persuasion", [1])
("peruse", [1])
("phoenix", [3])
("picture", [1])
("pig", [2])
("pin", [1])
("pinch", [10])
("pinchs", [1])
("piteous", [1])
("pitiless", [1])
("pity", [4])
("place", [10])
("plain", [4])
("plainer", [1])
("plainings", [1])
("plainly", [1])
("play", [2])
("plead", [5])
("pleaded", [1])
("please", [7])
("pleaseth", [1])
("pleasing", [2])
("plentiful", [1])
("pluck", [2])
("points", [1])
("poison", [1])
("poisons", [1])
("poland", [1])
("poor", [11])
("porpentine", [5])
("porridge", [1])
("porter", [4])
("possess", [1])
("possessd", [4])
("possession", [3])
("post", [3])
("pound", [1])
("power", [2])
("practise", [1])
("praise", [1])
("pranks", [1])
("pratest", [1])
("prating", [2])
("pray", [17])
("prayers", [3])
("prays", [2])
("preaches", [1])
("preeminence", [1])
("presence", [3])
("present", [6])
("presently", [3])
("pressd", [1])
("pretty", [2])
("prevailed", [1])
("prevailing", [1])
("prey", [1])
("pride", [1])
("prince", [1])
